epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,670.223,0.74082,0.37443,0.8834,0.87736,0.87708,0.90596,0.5063,1.66956,0.65023,1.37278,0.0003665,0.0003665,0.0003665
167,674.383,0.73739,0.36808,0.88447,0.88386,0.89655,0.91133,0.50399,1.67306,0.65112,1.38301,0.0003566,0.0003566,0.0003566
168,678.397,0.73412,0.36995,0.88503,0.88612,0.89435,0.91311,0.49996,1.68678,0.66527,1.38644,0.0003467,0.0003467,0.0003467
169,682.536,0.72549,0.36699,0.88159,0.88446,0.87739,0.91614,0.49873,1.69242,0.66592,1.39098,0.0003368,0.0003368,0.0003368
170,686.652,0.73618,0.37031,0.88657,0.87305,0.86949,0.90828,0.49791,1.68635,0.66554,1.38878,0.0003269,0.0003269,0.0003269
171,690.631,0.73835,0.37399,0.89335,0.88222,0.85441,0.91096,0.50909,1.66823,0.68347,1.37635,0.000317,0.000317,0.000317
172,694.657,0.7321,0.37114,0.87504,0.89686,0.85057,0.90951,0.49991,1.68994,0.68692,1.38223,0.0003071,0.0003071,0.0003071
173,698.616,0.70925,0.36601,0.87976,0.89814,0.85441,0.91136,0.50648,1.68123,0.66541,1.3885,0.0002972,0.0002972,0.0002972
174,702.702,0.71467,0.36207,0.88663,0.89711,0.85824,0.91064,0.50261,1.69775,0.67137,1.39901,0.0002873,0.0002873,0.0002873
175,706.701,0.72689,0.36819,0.88412,0.89831,0.87995,0.9202,0.50413,1.6827,0.664,1.38561,0.0002774,0.0002774,0.0002774
176,710.683,0.71433,0.3591,0.88493,0.89321,0.8659,0.90925,0.50455,1.68692,0.65904,1.39488,0.0002675,0.0002675,0.0002675
177,714.726,0.70644,0.3603,0.87678,0.88235,0.87739,0.90905,0.50254,1.68568,0.66019,1.39439,0.0002576,0.0002576,0.0002576
178,718.727,0.71308,0.36706,0.88156,0.89485,0.8659,0.90898,0.50531,1.68309,0.65278,1.39276,0.0002477,0.0002477,0.0002477
